"year","Label (Grouping)","state","series","measure","value"
"df_pop_2017","Total civilian noninstitutionalized population","Alabama","Total","Estimate",4793512
"df_pop_2017","Total civilian noninstitutionalized population","Alabama","Total.Uninsured","Estimate",448926
"df_pop_2017","Total civilian noninstitutionalized population","Alabama","Uninsured.Share",NA,0.0936528374185774
"df_pop_2017","Total civilian noninstitutionalized population","Alaska","Total","Estimate",716178
"df_pop_2017","Total civilian noninstitutionalized population","Alaska","Total.Uninsured","Estimate",97796
"df_pop_2017","Total civilian noninstitutionalized population","Alaska","Uninsured.Share",NA,0.136552644733572
"df_pop_2017","Total civilian noninstitutionalized population","Arizona","Total","Estimate",6908121
"df_pop_2017","Total civilian noninstitutionalized population","Arizona","Total.Uninsured","Estimate",694790
"df_pop_2017","Total civilian noninstitutionalized population","Arizona","Uninsured.Share",NA,0.100575829520068
"df_pop_2017","Total civilian noninstitutionalized population","Arkansas","Total","Estimate",2949305
"df_pop_2017","Total civilian noninstitutionalized population","Arkansas","Total.Uninsured","Estimate",231802
"df_pop_2017","Total civilian noninstitutionalized population","Arkansas","Uninsured.Share",NA,0.0785954657114134
"df_pop_2017","Total civilian noninstitutionalized population","California","Total","Estimate",39046835
"df_pop_2017","Total civilian noninstitutionalized population","California","Total.Uninsured","Estimate",2796589
"df_pop_2017","Total civilian noninstitutionalized population","California","Uninsured.Share",NA,0.0716214003004341
"df_pop_2017","Total civilian noninstitutionalized population","Colorado","Total","Estimate",5514070
"df_pop_2017","Total civilian noninstitutionalized population","Colorado","Total.Uninsured","Estimate",414077
"df_pop_2017","Total civilian noninstitutionalized population","Colorado","Uninsured.Share",NA,0.0750946215771653
"df_pop_2017","Total civilian noninstitutionalized population","Connecticut","Total","Estimate",3536522
"df_pop_2017","Total civilian noninstitutionalized population","Connecticut","Total.Uninsured","Estimate",193796
"df_pop_2017","Total civilian noninstitutionalized population","Connecticut","Uninsured.Share",NA,0.0547984714926134
"df_pop_2017","Total civilian noninstitutionalized population","Florida","Total","Estimate",20678704
"df_pop_2017","Total civilian noninstitutionalized population","Florida","Total.Uninsured","Estimate",2676147
"df_pop_2017","Total civilian noninstitutionalized population","Florida","Uninsured.Share",NA,0.129415605542785
"df_pop_2017","Total civilian noninstitutionalized population","Georgia","Total","Estimate",10241594
"df_pop_2017","Total civilian noninstitutionalized population","Georgia","Total.Uninsured","Estimate",1375176
"df_pop_2017","Total civilian noninstitutionalized population","Georgia","Uninsured.Share",NA,0.134273629671319
"df_pop_2017","Total civilian noninstitutionalized population","Idaho","Total","Estimate",1695273
"df_pop_2017","Total civilian noninstitutionalized population","Idaho","Total.Uninsured","Estimate",172013
"df_pop_2017","Total civilian noninstitutionalized population","Idaho","Uninsured.Share",NA,0.10146625351787
"df_pop_2017","Total civilian noninstitutionalized population","Illinois","Total","Estimate",12620126
"df_pop_2017","Total civilian noninstitutionalized population","Illinois","Total.Uninsured","Estimate",859257
"df_pop_2017","Total civilian noninstitutionalized population","Illinois","Uninsured.Share",NA,0.0680862457316195
"df_pop_2017","Total civilian noninstitutionalized population","Indiana","Total","Estimate",6568434
"df_pop_2017","Total civilian noninstitutionalized population","Indiana","Total.Uninsured","Estimate",536399
"df_pop_2017","Total civilian noninstitutionalized population","Indiana","Uninsured.Share",NA,0.0816631483242429
"df_pop_2017","Total civilian noninstitutionalized population","Iowa","Total","Estimate",3102179
"df_pop_2017","Total civilian noninstitutionalized population","Iowa","Total.Uninsured","Estimate",146017
"df_pop_2017","Total civilian noninstitutionalized population","Iowa","Uninsured.Share",NA,0.0470691729909847
"df_pop_2017","Total civilian noninstitutionalized population","Kansas","Total","Estimate",2855454
"df_pop_2017","Total civilian noninstitutionalized population","Kansas","Total.Uninsured","Estimate",249392
"df_pop_2017","Total civilian noninstitutionalized population","Kansas","Uninsured.Share",NA,0.0873388259800368
"df_pop_2017","Total civilian noninstitutionalized population","Kentucky","Total","Estimate",4370940
"df_pop_2017","Total civilian noninstitutionalized population","Kentucky","Total.Uninsured","Estimate",235227
"df_pop_2017","Total civilian noninstitutionalized population","Kentucky","Uninsured.Share",NA,0.0538161127812324
"df_pop_2017","Total civilian noninstitutionalized population","Louisiana","Total","Estimate",4580258
"df_pop_2017","Total civilian noninstitutionalized population","Louisiana","Total.Uninsured","Estimate",382649
"df_pop_2017","Total civilian noninstitutionalized population","Louisiana","Uninsured.Share",NA,0.0835431104536033
"df_pop_2017","Total civilian noninstitutionalized population","Maine","Total","Estimate",1321649
